symbol,price_date,open_price,high_price,low_price,close_price,volume
MSFT,2019-01-02,92.7307,94.78,92.1625,94.1932,35329300
AAPL,2019-01-02,36.7186,37.6574,36.5621,37.4369,148158800
AMZN,2019-01-02,73.26,77.668,73.0465,76.9565,159662000
GOOGL,2019-01-02,50.9086,52.5733,50.8134,52.2705,31868000
AAPL,2019-01-03,34.1323,34.5448,33.6629,33.7079,365248800
AMZN,2019-01-03,76.0005,76.9,74.8555,75.014,139512000
GOOGL,2019-01-03,52.0718,52.8444,50.6692,50.8228,41960000
MSFT,2019-01-03,93.243,93.3268,90.5417,90.728,42579100
MSFT,2019-01-04,92.889,95.4879,92.1532,94.9477,44060600
AAPL,2019-01-04,34.2626,35.2157,34.0896,35.1469,234428400
AMZN,2019-01-04,76.5,79.7,75.9155,78.7695,183652000
GOOGL,2019-01-04,51.6698,53.5254,51.3873,53.4297,46022000
AAPL,2019-01-07,35.2512,35.282,34.5874,35.0687,219111200
AMZN,2019-01-07,80.1155,81.728,79.4595,81.4755,159864000
GOOGL,2019-01-07,53.5735,53.6592,52.665,53.3232,47446000
MSFT,2019-01-07,94.6775,96.1958,94.0627,95.0687,35656100
MSFT,2019-01-08,95.9816,96.8479,94.7427,95.7581,31514400
AAPL,2019-01-08,35.4551,35.9908,35.2085,35.7372,164101200
AMZN,2019-01-08,83.2345,83.8305,80.8305,82.829,177628000
GOOGL,2019-01-08,53.8227,54.187,52.948,53.7915,35414000
AAPL,2019-01-09,35.8652,36.6333,35.4717,36.3441,180396400
AMZN,2019-01-09,82.649,83.39,82.07,82.971,126976000
GOOGL,2019-01-09,53.9214,54.1023,53.2463,53.6072,26998000
MSFT,2019-01-09,96.7454,97.6956,96.1679,97.1273,32280800
MSFT,2019-01-10,96.1493,96.643,95.3668,96.5033,30067600
AAPL,2019-01-10,36.152,36.5005,35.7633,36.4602,143122800
AMZN,2019-01-10,82.0505,83.1625,81.081,82.811,130154000
GOOGL,2019-01-10,53.2746,53.516,52.7661,53.4674,26598000
AAPL,2019-01-11,36.2421,36.4365,35.9173,36.1023,108092800
AMZN,2019-01-11,82.0275,83.0145,81.811,82.028,93724000
GOOGL,2019-01-11,53.0248,53.1968,52.3572,52.7557,30864000
